study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control
GSE163877,ENSG00000223972,0.2610732514035039,0.4660901579131977,0.9989310620241131,3,4
GSE163877,ENSG00000089053,0.16673073968634444,0.5227469193489895,0.9989310620241131,3,4
GSE163877,ENSG00000110931,-0.7141002900744731,0.12562756641135175,0.9989310620241131,3,4
GSE163877,ENSG00000135124,0.05105274414835437,0.7476262298285105,0.9989310620241131,3,4
GSE163877,ENSG00000286248,0.24405474210556677,0.5683887969920243,0.9989310620241131,3,4
GSE163877,ENSG00000089041,0.528166356429534,0.3027248330679721,0.9989310620241131,3,4
GSE163877,ENSG00000135114,0.15878801582156787,0.3713741982852035,0.9989310620241131,3,4
GSE163877,ENSG00000157895,-0.3545997398835099,0.16268120026004315,0.9989310620241131,3,4
GSE163877,ENSG00000135100,-0.045568107092333776,0.6624837618007979,0.9989310620241131,3,4
GSE163877,ENSG00000241388,0.04260764181414145,0.7652551725738744,0.9989310620241131,3,4
GSE163877,ENSG00000244585,-0.30266465702515066,0.43914105988202723,0.9989310620241131,3,4
GSE163877,ENSG00000231313,0.2826475675058947,0.04768233069456142,0.9989310620241131,3,4
GSE163877,ENSG00000157837,-0.08585071443017434,0.6757773898349111,0.9989310620241131,3,4
GSE163877,ENSG00000255946,0.2806960889076745,0.17407894591297826,0.9989310620241131,3,4
GSE163877,ENSG00000122971,-0.327450881339165,0.3779284247117141,0.9989310620241131,3,4
GSE163877,ENSG00000175970,0.2688132412207267,0.3603843970545922,0.9989310620241131,3,4
GSE163877,ENSG00000276188,-0.37057277871885086,0.1420952795025798,0.9989310620241131,3,4
GSE163877,ENSG00000277423,-0.44005318226599677,0.1245207191648087,0.9989310620241131,3,4
GSE163877,ENSG00000219355,0.027928393759250603,0.8312530349326156,0.9989310620241131,3,4
GSE163877,ENSG00000111786,0.13927438975487894,0.6856345909559263,0.9989310620241131,3,4
GSE163877,ENSG00000088986,0.06772135727764805,0.8182197674999185,0.9989310620241131,3,4
GSE163877,ENSG00000248008,-0.18606811198854611,0.6035429991329031,0.9989310620241131,3,4
GSE163877,ENSG00000278344,-0.0060359183890483226,0.9646334300279606,0.9989310620241131,3,4
GSE163877,ENSG00000110871,0.18159285569271688,0.5261128715053557,0.9989310620241131,3,4
GSE163877,ENSG00000170633,-0.26689813949450913,0.34937728738950363,0.9989310620241131,3,4
GSE163877,ENSG00000222601,0.07070830909034731,0.8809293778856886,0.9989310620241131,3,4
GSE163877,ENSG00000022840,-0.18941538276138115,0.3790960549088184,0.9989310620241131,3,4
GSE163877,ENSG00000167272,-0.1256649103078573,0.7405136539513382,0.9989310620241131,3,4
GSE163877,ENSG00000242137,-0.049685221501210686,0.8438725673148469,0.9989310620241131,3,4
GSE163877,ENSG00000256008,-0.22381680140942573,0.53733488559825,0.9989310620241131,3,4
GSE163877,ENSG00000157782,0.1637971422655511,0.6326623876494908,0.9989310620241131,3,4
GSE163877,ENSG00000110917,0.09620382897242763,0.49577963770929173,0.9989310620241131,3,4
GSE163877,ENSG00000241030,0.02274058237792287,0.9245663155259004,0.9989310620241131,3,4
GSE163877,ENSG00000257218,0.1532012490969792,0.5990647113313781,0.9989310620241131,3,4
